user_db_id,indiv_count,field_count,asp_top_count,asp_mid_count,asp_low_count,asp_none_count,gender,institution_bin_3,institution_bin_10,career_stage,field,domain
191314,1,0,False,True,True,True,0.0,3.0,9.0,Full Professor,Engineering,STEM
191326,2,0,False,True,True,True,1.0,3.0,9.0,Full Professor,Biology,STEM
191376,3,4,True,True,True,False,0.0,2.0,5.0,Full Professor,Chemistry,STEM
191385,1,0,True,True,True,False,1.0,1.0,4.0,Associate Professor,Biology,STEM
191387,1,0,True,True,False,True,1.0,3.0,9.0,Associate Professor,Medicine,STEM
191493,2,0,False,True,True,True,0.0,2.0,4.0,Full Professor,Engineering,STEM
191516,1,0,True,False,True,True,1.0,,,Assistant Professor,Business,Non-STEM
191598,0,1,False,False,False,True,1.0,3.0,8.0,Associate Professor,History,STEM
191602,0,1,False,True,False,True,0.0,1.0,1.0,Full Professor,Medicine,STEM
191649,0,0,False,True,True,True,0.0,2.0,7.0,Full Professor,Sociology,Non-STEM
191655,4,0,True,True,False,True,,,,Full Professor,Computer science,STEM
191675,2,2,False,True,True,True,,1.0,4.0,Full Professor,Sociology,Non-STEM
191722,2,0,True,True,True,False,0.0,3.0,9.0,Associate Professor,Engineering,STEM
191750,1,0,False,True,True,True,0.0,3.0,9.0,Associate Professor,Biology,STEM
191769,2,1,True,True,False,True,0.0,,,Full Professor,Economics,Non-STEM
191819,3,1,True,False,True,True,1.0,1.0,2.0,Full Professor,Sociology,Non-STEM
191833,5,4,True,True,True,False,0.0,1.0,2.0,Full Professor,Physics,STEM
191983,4,2,False,True,True,True,1.0,1.0,2.0,Assistant Professor,Physics,STEM
192022,4,3,True,True,True,False,0.0,1.0,2.0,Assistant Professor,Physics,STEM
192032,2,0,True,True,False,True,1.0,2.0,5.0,Full Professor,Psychology,Non-STEM
192046,4,0,True,True,True,False,0.0,3.0,9.0,Full Professor,Sociology,Non-STEM
192058,1,0,True,True,True,False,0.0,1.0,1.0,Full Professor,Psychology,Non-STEM
192062,3,0,True,False,False,True,0.0,,,Full Professor,Computer science,STEM
192069,2,0,False,False,False,True,0.0,,,Associate Professor,Computer science,STEM
192073,3,0,True,True,True,False,0.0,3.0,9.0,Full Professor,Computer science,STEM
192134,1,0,True,False,False,True,1.0,2.0,4.0,Associate Professor,Business,Non-STEM
192174,1,0,False,False,False,True,0.0,2.0,6.0,Associate Professor,Computer science,STEM
192204,4,0,True,True,False,True,0.0,3.0,8.0,Full Professor,Mathematics,STEM
192240,5,1,True,True,True,False,0.0,3.0,8.0,Full Professor,Engineering,STEM
192257,0,0,False,True,False,True,0.0,,,Full Professor,Physics,STEM
192330,0,0,True,False,False,True,0.0,,,Full Professor,Business,Non-STEM
192332,1,0,True,False,False,True,1.0,3.0,10.0,Associate Professor,Philosophy,Non-STEM
192338,2,1,True,False,True,True,,3.0,10.0,Full Professor,Chemistry,STEM
192350,1,2,True,False,True,True,0.0,3.0,9.0,Full Professor,Economics,Non-STEM
192398,0,0,False,False,False,True,0.0,2.0,7.0,Associate Professor,Business,Non-STEM
192412,1,0,True,True,False,True,0.0,,,Full Professor,Computer science,STEM
192445,1,0,True,False,True,True,,,,Full Professor,Computer science,STEM
192452,2,0,True,False,False,True,1.0,,,Associate Professor,Computer science,STEM
192465,2,0,True,True,True,False,1.0,3.0,9.0,Full Professor,Biology,STEM
192587,4,0,False,True,True,True,1.0,,,Full Professor,History,STEM
192608,1,0,False,True,True,True,1.0,1.0,3.0,Full Professor,Biology,STEM
192615,3,3,True,True,True,False,0.0,1.0,1.0,Full Professor,Economics,Non-STEM
192641,2,0,True,False,False,True,0.0,3.0,8.0,Full Professor,History,STEM
192688,4,1,True,True,True,False,1.0,2.0,5.0,Assistant Professor,Biology,STEM
192696,3,1,True,True,True,False,1.0,,,Full Professor,Biology,STEM
192755,4,0,True,True,True,False,0.0,1.0,4.0,Full Professor,Business,Non-STEM
192785,1,0,True,True,True,False,0.0,2.0,5.0,Associate Professor,Biology,STEM
192807,2,0,True,False,False,True,0.0,2.0,5.0,Full Professor,Mathematics,STEM
192875,3,1,True,True,True,False,1.0,2.0,7.0,Full Professor,Biology,STEM
192974,3,0,True,True,True,False,0.0,,,Full Professor,Business,Non-STEM
193057,0,0,False,True,False,True,0.0,,,Full Professor,Computer science,STEM
193078,3,2,True,True,True,False,0.0,1.0,3.0,Associate Professor,Chemistry,STEM
193091,1,1,False,True,True,True,0.0,,,Full Professor,Computer science,STEM
193108,2,0,True,False,False,True,0.0,3.0,9.0,Associate Professor,Engineering,STEM
193112,5,2,True,True,True,False,0.0,2.0,6.0,Full Professor,History,STEM
193130,3,1,False,True,True,True,0.0,3.0,9.0,Full Professor,Physics,STEM
193149,2,0,True,True,True,False,0.0,1.0,4.0,Associate Professor,Engineering,STEM
193163,2,2,False,True,True,True,0.0,2.0,6.0,Associate Professor,Chemistry,STEM
193205,2,1,True,False,True,True,0.0,1.0,3.0,Full Professor,Economics,Non-STEM
193216,0,0,False,False,True,True,0.0,2.0,5.0,Full Professor,Sociology,Non-STEM
193253,0,0,False,False,True,True,0.0,2.0,6.0,Associate Professor,Mathematics,STEM
193310,2,0,True,False,False,True,0.0,1.0,3.0,Full Professor,Computer science,STEM
193319,1,0,True,True,False,True,0.0,3.0,7.0,Full Professor,Psychology,Non-STEM
193327,0,0,False,False,False,True,0.0,3.0,8.0,Associate Professor,Chemistry,STEM
193375,3,1,True,False,True,True,0.0,3.0,8.0,Associate Professor,Psychology,Non-STEM
193535,2,2,True,True,True,False,0.0,2.0,5.0,Full Professor,Physics,STEM
193569,2,0,False,False,True,True,0.0,3.0,10.0,Full Professor,Business,Non-STEM
193601,1,0,False,True,True,True,,,,Associate Professor,Computer science,STEM
193619,1,1,True,True,True,False,0.0,1.0,3.0,Full Professor,Psychology,Non-STEM
193671,4,0,True,True,False,True,0.0,,,Associate Professor,Business,Non-STEM
193720,2,1,False,True,True,True,0.0,2.0,7.0,Full Professor,Physics,STEM
193753,1,0,False,True,True,True,1.0,1.0,1.0,Associate Professor,Medicine,STEM
193758,0,0,False,True,True,True,1.0,2.0,7.0,Full Professor,Biology,STEM
193802,3,1,True,True,True,False,0.0,2.0,5.0,Full Professor,Chemistry,STEM
193857,0,0,False,False,True,True,0.0,2.0,7.0,Associate Professor,Philosophy,Non-STEM
193868,1,0,True,True,False,True,1.0,2.0,7.0,Full Professor,Psychology,Non-STEM
193877,1,0,False,True,False,True,0.0,2.0,5.0,Associate Professor,Biology,STEM
193921,3,1,True,True,True,False,1.0,1.0,2.0,Full Professor,Biology,STEM
193944,0,0,False,True,True,True,1.0,3.0,9.0,Full Professor,Economics,Non-STEM
194010,2,0,True,True,True,False,1.0,1.0,2.0,Associate Professor,Psychology,Non-STEM
194068,1,1,True,False,False,True,0.0,3.0,9.0,Full Professor,Economics,Non-STEM
194130,1,0,False,False,False,True,0.0,,,Associate Professor,Business,Non-STEM
194142,4,2,True,True,True,False,1.0,2.0,7.0,Associate Professor,Biology,STEM
194197,2,1,True,True,False,True,0.0,1.0,2.0,Full Professor,History,STEM
194298,1,0,False,True,False,True,1.0,1.0,3.0,Associate Professor,Engineering,STEM
194388,1,0,True,False,True,True,0.0,2.0,5.0,Full Professor,Psychology,Non-STEM
194447,5,5,True,True,True,False,0.0,1.0,4.0,Full Professor,Sociology,Non-STEM
194463,1,0,True,True,True,False,0.0,3.0,8.0,Full Professor,Psychology,Non-STEM
194464,3,0,True,True,True,False,1.0,3.0,9.0,Full Professor,Psychology,Non-STEM
194502,4,3,True,True,False,True,0.0,1.0,4.0,Full Professor,Physics,STEM
